OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2433 (720),2007-052A,2026-06-02T08:50:50.258400,2.13104318,.00019687,65.5855,316.4315,187.3207,172.6647,0,U,32275,999,14474,0,-.5E-6,0
COSMOS 2432 (719),2007-052B,2026-06-01T11:30:03.781152,2.13103259,.00079627,65.6026,316.5890,335.3326,6.2477,0,U,32276,999,14474,0,-.55E-6,0
COSMOS 2434 (721),2007-065A,2026-06-03T05:16:57.974016,2.13101508,.0001073,64.3169,192.3869,346.2003,196.9194,0,U,32393,999,14347,0,.67E-6,0
COSMOS 2436 (723),2007-065C,2026-06-01T11:36:37.030752,2.13100308,.00171385,64.3249,192.5174,355.3995,68.0347,0,U,32395,999,14339,0,.73E-6,0
COSMOS 2456 (730),2009-070A,2026-06-01T12:53:22.216416,2.13103742,.00052361,65.0030,71.5051,325.3129,164.6820,0,U,36111,999,12809,0,-.33E-6,0
COSMOS 2457 (733),2009-070B,2026-06-02T07:13:59.772864,2.13101256,.00021954,64.9888,71.3232,128.6205,355.2851,0,U,36112,999,12811,0,-.26E-6,0
COSMOS 2460 (732),2010-007C,2026-06-03T07:24:57.468672,2.13101861,.00023139,65.4303,314.9353,94.6546,84.2231,0,U,36402,999,12643,0,-.43E-6,0
COSMOS 2476 (744),2011-064A,2026-06-03T03:09:12.439872,2.13103925,.00231277,65.2629,73.3451,240.1883,301.2642,0,U,37867,999,11346,0,-.17E-6,0
COSMOS 2477 (745),2011-064B,2026-06-02T09:40:11.817984,2.13103096,.00201116,65.2688,73.4489,241.3953,281.5715,0,U,37868,999,11344,0,-.23E-6,0
COSMOS 2475 (743),2011-064C,2026-06-03T00:02:26.453184,2.13101972,.00260508,65.2760,73.4504,254.0417,323.4716,0,U,37869,999,11346,0,-.18E-6,0
COSMOS 2485 (747),2013-019A,2026-06-02T19:58:22.842912,2.13103382,.00235211,65.4125,74.0857,235.2972,124.4927,0,U,39155,999,10197,0,-.18E-6,0
COSMOS 2492 (754),2014-012A,2026-06-02T07:43:26.658048,2.13103599,.0010606,65.3065,314.4405,327.7227,32.1988,0,U,39620,999,9492,0,-.49E-6,0
COSMOS 2500 (755),2014-032A,2026-06-02T23:03:53.716032,2.13106099,.00068272,65.2416,314.1670,181.8487,178.1366,0,U,40001,999,9315,0,-.45E-6,0
COSMOS 2501 (702K),2014-075A,2026-06-02T06:49:36.021216,2.13101483,.00224323,63.6153,190.8879,212.0160,147.9258,0,U,40315,999,8953,0,.69E-6,0
COSMOS 2514 (751),2016-008A,2026-06-03T04:58:36.255648,2.13102761,.00107456,65.0306,313.4863,197.1733,162.7783,0,U,41330,999,8032,0,-.44E-6,0
COSMOS 2522 (752),2017-055A,2026-06-02T02:33:39.225600,2.13102000,.00105132,64.0774,192.3978,239.6203,120.3566,0,U,42939,999,6765,0,.7E-6,0
COSMOS 2527 (756),2018-053A,2026-06-02T01:38:19.384224,2.13102213,.00074007,65.5700,74.4108,243.2517,116.6796,0,U,43508,999,6195,0,-.24E-6,0
COSMOS 2529 (757),2018-086A,2026-06-02T03:57:28.497024,2.13102175,.00116184,64.2936,193.1017,256.1127,103.8395,0,U,43687,999,5896,0,.69E-6,0
COSMOS 2534 (758),2019-030A,2026-06-01T18:08:58.748928,2.13102488,.00131301,64.3675,193.1362,275.2169,265.7708,0,U,44299,999,5459,0,.71E-6,0
COSMOS 2544 (759),2019-088A,2026-06-02T00:18:42.607296,2.13102047,.00137126,65.5580,74.2365,260.3768,99.4753,0,U,44850,999,5039,0,-.25E-6,0
COSMOS 2545 (760),2020-018A,2026-06-02T16:15:21.326688,2.13102701,.0007784,64.3640,312.9283,231.7732,128.1433,0,U,45358,999,4835,0,-.48E-6,0
COSMOS 2547 (705K),2020-075A,2026-06-01T11:00:56.634048,2.13100326,.00091303,64.5982,193.0008,239.1969,120.7967,0,U,46805,999,4357,0,.73E-6,0
COSMOS 2557 (706K),2022-075A,2026-06-02T13:29:06.303264,2.13102309,.00101406,64.3077,315.0006,276.1929,83.6791,0,U,52984,999,3040,0,-.5E-6,0
COSMOS 2559 (707K),2022-130A,2026-05-31T23:22:06.833280,2.13101759,.00122204,64.2818,315.1401,176.8765,183.1177,0,U,54031,999,2834,0,-.61E-6,0
COSMOS 2564 (761),2022-161A,2026-06-02T05:23:45.288672,2.13102104,.00119743,64.7404,193.2085,223.9125,136.0737,0,U,54377,999,2731,0,.7E-6,0
COSMOS 2569 (703K),2023-114A,2026-06-02T05:41:30.808032,2.13103818,.00112352,65.2941,73.1245,296.7139,63.1811,0,U,57517,999,2194,0,-.24E-6,0
COSMOS 2584 (704K),2025-042A,2026-05-31T05:55:39.458208,2.13103967,.00059206,65.0752,73.3776,230.3550,129.5914,0,U,63130,999,968,0,-.44E-6,0
COSMOS 2596 (708K),2025-206B,2026-05-29T16:25:48.887904,2.13100909,.00111512,64.6467,315.6290,314.6394,43.2361,0,U,65590,999,551,0,-.68E-6,0
